rok;wojewodztwo;powiat;gmina;teryt
2010;lubelskie;bialski;terespol;60116
2010;lubelskie;bialski;międzyrzec podlaski;60110
2010;lubelskie;bialski;rokitno;60112
2010;lubelskie;bialski;rossosz;60113
2010;lubelskie;bialski;sławatycze;60114
2010;lubelskie;bialski;sosnówka;60115
2010;lubelskie;bialski;drelów;60104
2010;lubelskie;bialski;tuczna;60117
2010;lubelskie;bialski;biała podlaska;60103
2010;lubelskie;bialski;piszczac;60111
2011;lubelskie;bialski;sławatycze;60114
2011;lubelskie;bialski;rossosz;60113
2011;lubelskie;bialski;terespol;60116
2011;lubelskie;bialski;rokitno;60112
2011;lubelskie;bialski;kodeń;60106
2011;lubelskie;bialski;piszczac;60111
2011;lubelskie;bialski;konstantynów;60107
2011;lubelskie;bialski;wisznice;60118
2011;lubelskie;bialski;zalesie;60119
2011;lubelskie;bialski;międzyrzec podlaski;60101
2011;lubelskie;bialski;terespol;60102
2011;lubelskie;bialski;drelów;60104
2011;lubelskie;bialski;łomazy;60109
2011;lubelskie;bialski;tuczna;60117
2011;lubelskie;bialski;leśna podlaska;60108
2011;lubelskie;bialski;janów podlaski;60105
2011;lubelskie;bialski;międzyrzec podlaski;60110
2011;lubelskie;bialski;biała podlaska;60103
2011;lubelskie;bialski;sosnówka;60115
2012;lubelskie;bialski;sławatycze;60114
2012;lubelskie;bialski;zalesie;60119
2012;lubelskie;bialski;drelów;60104
2012;lubelskie;bialski;terespol;60102
2012;lubelskie;bialski;międzyrzec podlaski;60101
2012;lubelskie;bialski;konstantynów;60107
2012;lubelskie;bialski;kodeń;60106
2012;lubelskie;bialski;wisznice;60118
2012;lubelskie;bialski;rokitno;60112
2012;lubelskie;bialski;piszczac;60111
2012;lubelskie;bialski;janów podlaski;60105
2012;lubelskie;bialski;międzyrzec podlaski;60110
2012;lubelskie;bialski;rossosz;60113
2012;lubelskie;bialski;leśna podlaska;60108
2012;lubelskie;bialski;łomazy;60109
2012;lubelskie;bialski;terespol;60116
2012;lubelskie;bialski;tuczna;60117
2012;lubelskie;bialski;sosnówka;60115
